Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Translated1
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 001 - Jingle und Ansage.mp3;CD 01 - 001 - Jingle und Ansage (00585-00655).mp3;585;655;70;29676;von joanne k rowling;von joanne k rowling;train;von joanne k rowling
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 001 - Jingle und Ansage.mp3;CD 01 - 001 - Jingle und Ansage (00659-00743).mp3;659;743;84;35527;gelesen von rufus beck;gelesen von rufus beck;train;gelesen von rufus beck
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 002 - Eulenpost 1.mp3;CD 01 - 002 - Eulenpost 1 (00018-00060).mp3;18;60;42;17973;eulenpost;eulenpost;train;eulenpost
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 002 - Eulenpost 1.mp3;CD 01 - 002 - Eulenpost 1 (00088-00248).mp3;88;248;160;67292;harry potter war in vielerlei hinsicht ein höchst ungewöhnlicher junge;harry potter war in vielerlei hinsicht ein höchst ungewöhnlicher junge;train;harry potter war in vielerlei hinsicht ein höchst ungewöhnlicher junge
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 002 - Eulenpost 1.mp3;CD 01 - 002 - Eulenpost 1 (00267-00461).mp3;267;461;194;81503;so hasste er zum beispiel die sommerferien mehr als jede andere zeit des jahres;so hasste er zum beispiel die sommerferien mehr als jede andere zeit des jahres;train;so hasste er zum beispiel die sommerferien mehr als jede andere zeit des jahres
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 002 - Eulenpost 1.mp3;CD 01 - 002 - Eulenpost 1 (00462-00618).mp3;462;618;156;65620;zudem wollte er in den ferien eigentlich gern für die schule lernen;zudem wollte er in den ferien eigentlich gern für die schule lernen;train;zudem wollte er in den ferien eigentlich gern für die schule lernen
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 002 - Eulenpost 1.mp3;CD 01 - 002 - Eulenpost 1 (00621-00761).mp3;621;761;140;58933;doch er war gezwungen dies heimlich und in tiefster nacht zu tun;doch er war gezwungen dies heimlich und in tiefster nacht zu tun;train;doch er war gezwungen dies heimlich und in tiefster nacht zu tun
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 002 - Eulenpost 1.mp3;CD 01 - 002 - Eulenpost 1 (00775-00900).mp3;775;900;125;52663;und außerdem war er ein zauberer;und außerdem war er ein zauberer;train;und außerdem war er ein zauberer
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 002 - Eulenpost 1.mp3;CD 01 - 002 - Eulenpost 1 (00940-01030).mp3;940;1030;90;38035;es war schon fast mitternacht;es war schon fast mitternacht;train;es war schon fast mitternacht
J. K. Rowling;Rufus Beck;Harry Potter 3 - und der Gefangene von Askaban;CD 01 - 002 - Eulenpost 1.mp3;CD 01 - 002 - Eulenpost 1 (01040-01119).mp3;1040;1119;79;33437;und er lag beuchlings im bett;und er lag bäuchlings im bett;train;und er lag bäuchlings im bett
