Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Sort1
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (00026-00091).mp3;26;91;65;27586;brandon sanderson;brandon sanderson;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (00094-00276).mp3;94;276;164;69382;jäger der nacht aus dem amerikanischen von michael siefener;jäger der nacht aus dem amerikanischen von michael siefener;translate;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (00296-00500).mp3;296;500;149;63113;gelesen von detlef bierstedt prolog;gelesen von detlef bierstedt prolog;translate;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (00518-00632).mp3;518;632;114;48066;geduckt kroch wax an dem zerbrochenen zaun entlang;geduckt kroch wax an dem zerbrochenen zaun entlang;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (00641-00747).mp3;641;747;106;44722;seine stiefel knirschten über den trockenen boden;seine stiefel knirschten über den trockenen boden;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (00753-00880).mp3;753;880;127;53499;er hielt seinen sterrion sechsunddreißig in kopfhöhe;er hielt seinen sterrion sechsunddreißig in kopfhöhe;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (00889-01003).mp3;889;1003;114;48066;der lange silbrige lauf war mit rotem lehm bestäubt;der lange silbrige lauf war mit rotem lehm bestäubt;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (01017-01298).mp3;1017;1298;281;117865;der revolver machte zwar keinen besonders ansehnlichen eindruck doch die sechsschüssige trommel war mit solcher präzision in den rahmen;der revolver machte zwar keinen besonders ansehnlichen eindruck doch die sechsschüssige trommel war mit solcher präzision in den rahmen;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (01297-01498).mp3;1297;1498;201;84428;aus einer stahllegierung eingesetzt dass in ihren bewegungen nicht das geringste spiel war;aus einer stahllegierung eingesetzt dass in ihren bewegungen nicht das geringste spiel war;train7;100
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (01514-01713).mp3;1514;1713;199;83592;das metall schimmerte nicht und in den griff waren keinerlei exotische materialien eingelassen;das metall schimmerte nicht und in den griff waren keinerlei exotische materialien eingelassen;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (01725-01909).mp3;1725;1909;184;77323;aber die waffe lag so gut in seiner hand als wäre sie eigens dafür geschaffen worden;aber die waffe lag so gut in seiner hand als wäre sie eigens dafür geschaffen worden;train7;100
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (01935-02014).mp3;1935;2014;79;33437;der hüfthohe zaun war baufällig;der hüfthohe zaun war baufällig;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 4 - Jäger der Nacht;001 - Prolog.mp3;001 - Prolog (02013-02219).mp3;2013;2219;206;86518;das holz mit der zeit grau geworden wurde von ausgefransten seilen zusammengehalten;das holz mit der zeit grau geworden wurde von ausgefransten seilen zusammengehalten;train;0
