DsId;Sprecher;Orginaldatei;Datei;Start;End;Length;Duration;Size;Translated0;OriginalText;Action;Sort1
HspSections-067;Unbekannt;00000570.mp3;00000570.mp3;0;56640;59;1.7700000000000014;28422;als nachdem du getrunken;als nachdem du getrunken;train9;200000
HspSections-067;Unbekannt;00001169.mp3;00001169.mp3;0;56640;59;1.7700000000000014;28422;ihr name war fortuna;ihr name war fortuna;train8;200000
HspSections-067;Unbekannt;00001229.mp3;00001229.mp3;0;56640;59;1.7700000000000014;28422;erlaubte sich seneca zu sagen;erlaubte sich seneca zu sagen;train8;1
HspSections-067;Unbekannt;00001259.mp3;00001259.mp3;0;56640;59;1.7700000000000014;28422;sterblich bist du geboren;sterblich bist du geboren;train9;200000
HspSections-067;Unbekannt;00001340.mp3;00001340.mp3;0;56640;59;1.7700000000000014;28422;ich soll mich in ketten legen lassen;ich soll mich in ketten legen lassen;train9;200000
HspSections-067;Unbekannt;00001479.mp3;00001479.mp3;0;56640;59;1.7700000000000014;28422;muss es so sein;muss es so sein;train9;200000
HspSections-067;Unbekannt;00001808.mp3;00001808.mp3;0;56640;59;1.7700000000000014;28422;das bild neu zu zeichnen;das bild neu zu zeichnen;train8;100
HspSections-067;Unbekannt;00002053.mp3;00002053.mp3;0;56640;59;1.7700000000000014;28422;montaigne las von der barbarei;montaigne las von der barbarei;train8;200000
HspSections-067;Unbekannt;00002215.mp3;00002215.mp3;0;56640;59;1.7700000000000014;28422;weil sie uns als den begreifen;weil sie uns als den begreifen;train9;200000
HspSections-067;Unbekannt;00002320.mp3;00002320.mp3;0;56640;59;1.7700000000000014;28422;schreibt er verse oder prosa;schreibt er verse oder prosa;train8;200000
HspSections-067;Unbekannt;00002514.mp3;00002514.mp3;0;56640;59;1.7700000000000014;28422;braucht man wenig können;braucht man wenig können;train9;200000
HspSections-067;Unbekannt;00002644.mp3;00002644.mp3;0;56640;59;1.7700000000000014;28422;er besucht seine mutter in weimar;er besucht seine mutter in weimar;train9;120000
