Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181707.mp3;common_voice_de_19181707.mp3;0;303;303;115584;es werden vielfältige forschungen rund um die antarktische halbinsel betrieben;es werden vielfältige forschungen rund um die antarktische halbinsel betrieben;train
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181747.mp3;common_voice_de_19181747.mp3;0;315;315;120192;mit ihm lässt sich feststellen ob ein wort zu einer bestimmten kontextfreien sprache gehört;mit ihm lässt sich feststellen ob ein wort zu einer bestimmten kontextfreien sprache gehört;train
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181749.mp3;common_voice_de_19181749.mp3;0;229;229;87168;seine verbreitung ist auf die nordhemisphäre beschränkt;seine verbreitung ist auf die nordhemisphäre beschränkt;train
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181757.mp3;common_voice_de_19181757.mp3;0;286;286;109056;er war damit der erste fußballspieler oder trainer dem diese ehre zuteilwurde;er war damit der erste fußballspieler oder trainer dem diese ehre zuteilwurde;train
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181759.mp3;common_voice_de_19181759.mp3;0;398;398;152064;für nachtarbeit gelten spezielle regelungen;für nachtarbeit gelten spezielle regelungen;train
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181777.mp3;common_voice_de_19181777.mp3;0;361;361;137856;in der chemischen analyse wird es zur trennung von mangan und crom genutzt;in der chemischen analyse wird es zur trennung von mangan und chrom genutzt;train
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181778.mp3;common_voice_de_19181778.mp3;0;422;422;161280;noch im selben jahr trat er wegen meinungsverschiedenheiten zurück;noch im selben jahr trat er wegen meinungsverschiedenheiten zurück;train
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181779.mp3;common_voice_de_19181779.mp3;0;548;548;209664;in der nähe des herrenhauses wurden drei arkaden des kreuzgangs aufgestellt;in der nähe des herrenhauses wurden drei arkaden des kreuzgangs aufgestellt;train
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181871.mp3;common_voice_de_19181871.mp3;0;171;171;64896;im selben jahr wurde er zu österreichs sportler des jahres gewählt;im selben jahr wurde er zu österreichs sportler des jahres gewählt;train
cv-corpus-6.1-2020-12-11/de;372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8;common-voice-de-29v30;common_voice_de_19181872.mp3;common_voice_de_19181872.mp3;0;245;245;93312;die regionalbahnen zwischen donauwörth und günzburg kreuzen sich dabei in dillingen;die regionalbahnen zwischen donauwörth und günzburg kreuzen sich dabei in dillingen;train
