Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Sort1
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 01 - Ein grässlicher Geburtstag.mp3;CD01 - 01 - Ein graesslicher Geburtstag (00024-00124).mp3;24;124;100;42214;harry potter und die kammer des schreckens;harry potter und die kammer des schreckens;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 01 - Ein grässlicher Geburtstag.mp3;CD01 - 01 - Ein graesslicher Geburtstag (00128-00190).mp3;128;190;62;26332;von joanne k rowling;von joanne k rowling;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 01 - Ein grässlicher Geburtstag.mp3;CD01 - 01 - Ein graesslicher Geburtstag (00227-00300).mp3;227;300;73;30929;aus dem englischen von klaus fritz;aus dem englischen von klaus fritz;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 01 - Ein grässlicher Geburtstag.mp3;CD01 - 01 - Ein graesslicher Geburtstag (00323-00092).mp3;323;92;156;66038;gelesen von felix von manteuffel ein grässlicher geburtstag;gelesen von felix von manteuffel ein grässlicher geburtstag;train7;100
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 02 - Ein grässlicher Geburtstag.mp3;CD01 - 02 - Ein graesslicher Geburtstag (00182-00264).mp3;182;264;82;34691;im ligusterweg nummer vier;im ligusterweg nummer vier;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 02 - Ein grässlicher Geburtstag.mp3;CD01 - 02 - Ein graesslicher Geburtstag (00263-00419).mp3;263;419;156;65620;war mal wieder bereits beim frühstück streit ausgebrochen;war mal wieder bereits beim frühstück streit ausgebrochen;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 02 - Ein grässlicher Geburtstag.mp3;CD01 - 02 - Ein graesslicher Geburtstag (00422-00717).mp3;422;717;295;123716;ein lautes kreischen aus dem zimmer seines neffen harry hatte mr vernon dursley in aller herrgottsfrühe aus dem schlaf gerissen;ein lautes kreischen aus dem zimmer seines neffen harry hatte mr vernon dursley in aller herrgottsfrühe aus dem schlaf gerissen;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 02 - Ein grässlicher Geburtstag.mp3;CD01 - 02 - Ein graesslicher Geburtstag (00725-00791).mp3;725;791;66;28004;schon das dritte mal diese woche;schon das dritte mal diese woche;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 02 - Ein grässlicher Geburtstag.mp3;CD01 - 02 - Ein graesslicher Geburtstag (00804-00873).mp3;804;873;69;29258;polterte er über den tisch hinweg;polterte er über den tisch hinweg;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und die Kammer des Schreckens;CD01 - 02 - Ein grässlicher Geburtstag.mp3;CD01 - 02 - Ein graesslicher Geburtstag (00872-00989).mp3;872;989;117;49320;wenn du diese eule nicht in den griff kriegst fliegt sie raus;wenn du diese eule nicht in den griff kriegst fliegt sie raus;train;0
